root@large-insatnce:~/cs553-spring2024-hw5-mdinesh6# ./vault -t 16 -o 16 -i 4 -m 16 -s 64 -f data-64GB.bin
NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=193126051840
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 25204809728 bytes
Free Memory: 4265463808 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[80][HASHGEN]: 25.02% completed, ETA 240.7 seconds, 123/512 flushes, 2.7 MB/sec
[81][HASHGEN]: 25.12% completed, ETA 242.3 seconds, 128/512 flushes, 68.5 MB/sec
[82][HASHGEN]: 25.58% completed, ETA 239.4 seconds, 128/512 flushes, 303.2 MB/sec
[83][HASHGEN]: 26.05% completed, ETA 236.5 seconds, 128/512 flushes, 304.9 MB/sec
[84][HASHGEN]: 26.51% completed, ETA 233.7 seconds, 128/512 flushes, 303.0 MB/sec
[85][HASHGEN]: 26.97% completed, ETA 231.0 seconds, 128/512 flushes, 298.1 MB/sec
[86][HASHGEN]: 27.42% completed, ETA 228.4 seconds, 128/512 flushes, 297.6 MB/sec
[87][HASHGEN]: 27.88% completed, ETA 225.9 seconds, 128/512 flushes, 298.0 MB/sec
[88][HASHGEN]: 28.39% completed, ETA 222.7 seconds, 128/512 flushes, 335.0 MB/sec
[89][HASHGEN]: 28.92% completed, ETA 219.5 seconds, 128/512 flushes, 348.7 MB/sec
[90][HASHGEN]: 29.46% completed, ETA 216.2 seconds, 128/512 flushes, 356.3 MB/sec
[91][HASHGEN]: 30.01% completed, ETA 212.9 seconds, 128/512 flushes, 356.3 MB/sec
[92][HASHGEN]: 30.54% completed, ETA 209.9 seconds, 128/512 flushes, 346.2 MB/sec
[93][HASHGEN]: 31.02% completed, ETA 207.5 seconds, 128/512 flushes, 313.5 MB/sec
[94][HASHGEN]: 31.56% completed, ETA 204.5 seconds, 128/512 flushes, 358.4 MB/sec
[95][HASHGEN]: 32.05% completed, ETA 202.1 seconds, 128/512 flushes, 318.3 MB/sec
